word,weight
berpucuk,-4
berpura-pura,-4
berpusu,-3
berputar-putar,-4
berputih tulang,-2
bersaba,-3
bersabung nyawa,-3
bersalah,-4
bersalahan,-4
bersandarkan,-4
bersanding,-5
bersanggit,-5
bersangkal,-5
bersara,-3
bersebaran,-5
bersebelahan,-4
berseberangan,-3
bersedih,-5
bersekongkol,-4
bersekutu,-5
berselang,-3
berselingkuh,-5
berselisih,-5
berseloroh,-4
bersempena,-3
bersempuras,-3
bersendi,-4
bersendikan,-4
bersengaja,-2
bersengketa,-4
bersentuh,-5
bersepai,-5
berserakan,-5
berserikat,-3
bersesak-sesak,-3
berseteru,-4
bersilih,-3
bersimbah,-3
bersinggungan,-3
bersipongang,-3
bersisalak,-4
bersokom,-4
bersuka-suka,-3
bersuka-sukaan,-3
bersungkawa,-3
bersurai,-3
bersusah,-5
bersusah hati,-5
bersusila,-4
bertabrakan,-4
bertaburan,-5
bertaki,-3
bertala-tala,-3
bertalun-talun,-3
bertambah,-5
bertambun,-3
bertamu,-4
bertandang,-4
bertangkap,-3
bertapa,-3
bertapakkan,-4
bertara,-3
bertarak,-3
bertasyakur,-4
bertautan,-4
bertebaran,-5
bertekak,-4
bertekuk lutut,-3
bertelanjang,-3
bertele-tele,-3
bertelimpuh,-3
bertelinga lembut,-3
bertelingkah,-4
berteman,-3
bertemperasan,-3
bertempiar,-3
bertemu roma,-4
bertendensi,-3
bertengkar,-5
bertengkar mulut,-5
bertengkaran,-4
bertengking,-4
bertentangan,-4
berteraskan,-4
berterima,-3
bertetesan,-3
bertian,-3
bertikai,-5
bertikai pangkai,-4
bertimbal,-3
bertimbang,-3
bertimpa-timpa,-3
bertindak,-4
bertindik,-3
bertingkuh,-4
bertinju,-4
bertitikan,-3
bertokok,-3
bertolak,-2
bertonggakkan,-4
bertransformasi,-3
bertuah,-3
bertubrukan,-4
bertudung lingkup,-5
bertumbangan,-3
bertumbuk,-4
bertumbukan,-4
bertunjangkan,-4
berubah akal,-2
berubah ingatan,-3
berugi,-5
berulah,-4
berumpun,-3
berumur,-2
beruntun,-3
berurine,-3
berus,-4
berusuh,-5
berziarah,-4
berzina,-4
besar dada,-2
besar kepala,-4
besar mulut,-4
besar perut,-3
besar rabu,-3
besi tua,-4
besit,-2
besot,-3
beta,-3
betas,-3
bete,-5
beterjunan,-5
betina,-2
beton,-2
betung,-3
beud,-2
bhay,-3
biak,-3
biang keladi,-3
biarawati,-3
biarin,-3
biarpun,-3
bias,-2
biasin,-3
bicu,-3
bidah,-3
bidai,-4
bidas,-5
bidik,-2
biji buah,-3
biji mata,-3
biksah,-5
bilik,-3
bimbang,-5
bingit,-5
bingung,-3
bini gelap,-5
bir,-5
birah,-3
birokrat,-3
bisain,-2
bisik,-2
bison,-3
biut,-5
blangko,-3
blaster,-3
blobor,-3
block,-4
blokir,-3
bloon,-3
blur,-4
bobol,-4
bobrok,-5
bobroq,-4
bocor,-4
bodo,-5
bodo amat,-4
bodoamat,-4
bodoh,-2
bogem,-5
bogem mentah,-5
bogum,-3
bohong,-5
bokek,-5
bokep,-5
boker,-3
boksen,-5
boleh juga,-3
bolong,-3
bolos,-3
bolsak,-4
bondong,-4
bondot,-5
bongak,-5
bonggol,-4
bongkah,-2
bongkak,-3
bongkar,-3
bongkar-bangkir,-5
bongkong,-3
bongok,-3
bongsor,-2
boong,-4
borak,-4
boro,-2
borok,-5
boros,-5
bosan,-3
bosen,-4
bosman,-4
bosun,-4
boyak,-5
brengsek,-5
brokat,-4
broker,-3
bromocorah,-5
brutal,-5
bruto,-3
buah bibir,-2
buah dada,-3
buah simalakama,-3
bual,-4
bualan,-4
buang,-3
buang air,-5
buang air besar,-5
buang air kecil,-3
buang hajat,-5
buang nyawa,-5
buangan,-4
buang-buang air,-5
buari,-4
buas,-5
buaya darat,-3
bucu,-3
budak,-2
budek,-3
bufer,-3
buhuk,-4
bujukan,-3
bukan,-3
bukat,-4
bulan-bulanan,-4
bulat,-3
buletin,-3
bulevar,-4
bully,-5
bulsak,-4
buluh,-3
bulus,-5
buncah,-5
buncit,-2
bundak,-3
bundel,-5
bunduk,-3
bunga hati,-3
bungsu,-3
buntang,-4
buntet,-2
bunting,-3
buntu,-3
buntung,-5
